Diện tích (m^2),Khu vực,Mô tả vị trí,Mặt tiền (m),Số phòng ngủ,WC,Giá nhà (Tỷ)
81,Quận Thanh Khê,NHÀ ĐẤT THỔ CƯ,4,4.0,3.0,5.3
54,Quận Hải Châu,NHÀ TRONG NGÕ,4,3.0,3.0,4.39
56,Quận Hải Châu,NHÀ MẶT PHỐ,4,2.0,1.0,3.45
180,Quận Hải Châu,NHÀ MẶT PHỐ,6,3.0,2.0,5.0
83,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,9,3.0,3.0,5.0
63,Quận Hải Châu,NHÀ MẶT PHỐ,4,2.0,2.0,4.0
60,Quận Liên Chiểu,NHÀ ĐẤT THỔ CƯ,5,3.0,2.0,2.45
140,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",5,5.5,7.0,20.0
123,Quận Cẩm Lệ,NHÀ ĐẤT THỔ CƯ,5,4.0,4.0,5.0
59,Quận Hải Châu,NHÀ MẶT PHỐ,4,3.0,3.0,13.5
110,Quận Hải Châu,NHÀ MẶT PHỐ,6,3.0,3.0,9.1
90,Quận Thanh Khê,NHÀ TRONG NGÕ,5,2.0,2.0,2.9
140,Quận Hải Châu,CONDOTEL,6,5.0,5.0,7.0
88,Quận Hải Châu,NHÀ MẶT PHỐ,5,4.0,4.0,0.616
43,Quận Hải Châu,NHÀ TRONG NGÕ,5,2.0,2.0,2.0
65,Quận Thanh Khê,NHÀ TRONG NGÕ,5,3.0,3.0,4.0
101,Quận Sơn Trà,NHÀ ĐẤT THỔ CƯ,8,2.0,2.0,2.8
200,Quận Hải Châu,NHÀ MẶT PHỐ,6,4.0,5.0,4.4
99,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",9,3.0,3.0,7.0
50,Quận Hải Châu,NHÀ MẶT PHỐ,7,3.0,3.0,4.2
106,Quận Hải Châu,NHÀ MẶT PHỐ,7,2.0,1.0,4.0
90,Huyện Hòa Vang,NHÀ ĐẤT THỔ CƯ,5,3.0,3.0,3.55
83,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",9,3.0,3.0,7.0
50,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",7,2.0,2.0,3.0
90,Quận Liên Chiểu,NHÀ MẶT PHỐ,5,4.0,4.0,6.5
80,Quận Thanh Khê,NHÀ ĐẤT THỔ CƯ,5,3.0,3.0,3.45
170,Quận Thanh Khê,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,6.0,12.9
99,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",8,3.0,3.0,6.0
75,Quận Thanh Khê,NHÀ ĐẤT THỔ CƯ,5,3.0,2.0,2.75
90,Quận Cẩm Lệ,NHÀ ĐẤT THỔ CƯ,5,2.0,1.0,2.15
50,Quận Thanh Khê,NHÀ TRONG NGÕ,4,2.0,2.0,2.7
70,Quận Sơn Trà,CĂN HỘ CHUNG CƯ,10,2.0,2.0,6.0
80,Quận Liên Chiểu,NHÀ MẶT PHỐ,5,3.0,4.0,4.55
80,Quận Liên Chiểu,NHÀ MẶT PHỐ,4,3.0,2.0,25.0
86,Quận Sơn Trà,NHÀ MẶT PHỐ,5,2.0,2.0,6.9
100,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,4.0,3.0,4.45
80,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,4.0,3.0,4.3
69,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",8,3.0,3.0,5.0
82,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,10,2.0,2.0,3.64
75,Quận Thanh Khê,NHÀ ĐẤT THỔ CƯ,5,3.0,5.0,6.0
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,4.0,12.0
43,Quận Hải Châu,NHÀ TRONG NGÕ,5,3.0,2.0,2.75
98,Quận Hải Châu,NHÀ MẶT PHỐ,4,5.5,5.0,9.0
105,Quận Thanh Khê,NHÀ ĐẤT THỔ CƯ,5,4.0,4.0,6.45
90,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,3.0,2.0,3.9
60,Quận Liên Chiểu,NHÀ ĐẤT THỔ CƯ,5,3.0,3.0,2.35
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,3.0,4.0,14.0
55,Quận Cẩm Lệ,CĂN HỘ CHUNG CƯ,5,3.0,4.0,3.0
88,Quận Cẩm Lệ,NHÀ ĐẤT THỔ CƯ,5,3.0,2.0,3.0
100,Quận Sơn Trà,NHÀ MẶT PHỐ,5,3.0,2.0,0.65
61,Quận Hải Châu,NHÀ MẶT PHỐ,5,3.0,3.0,4.85
82,Quận Sơn Trà,NHÀ ĐẤT THỔ CƯ,5,1.5,1.0,2.55
98,Quận Ngũ Hành Sơn,NHÀ ĐẤT THỔ CƯ,5,1.5,1.0,1.17
88,Quận Thanh Khê,NHÀ MẶT PHỐ,2,3.0,3.0,5.5
25,Quận Sơn Trà,CĂN HỘ CHUNG CƯ,10,1.5,1.0,2.6
102,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,5,3.0,3.0,5.3
99,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",7,3.0,3.0,6.0
100,Quận Thanh Khê,NHÀ MẶT PHỐ,5,4.0,5.0,14.3
204,Quận Cẩm Lệ,"NHÀ BIỆT THỰ, LIỀN KỀ",10,3.0,3.0,22.5
160,Quận Liên Chiểu,NHÀ MẶT PHỐ,5,3.0,2.0,6.8
150,Quận Liên Chiểu,NHÀ MẶT PHỐ,9,2.0,1.0,9.5
100,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",8,3.0,3.0,6.0
56,Quận Hải Châu,NHÀ TRONG NGÕ,4,2.0,2.0,5.2
135,Quận Hải Châu,NHÀ MẶT PHỐ,4,5.5,4.0,23.5
90,Quận Sơn Trà,NHÀ MẶT PHỐ,5,3.0,2.0,6.5
204,Quận Hải Châu,NHÀ MẶT PHỐ,10,3.0,1.0,0.145
142,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,3.0,3.0,6.8
101,Quận Liên Chiểu,NHÀ MẶT PHỐ,4,3.0,4.0,10.5
100,Quận Thanh Khê,NHÀ MẶT PHỐ,5,4.0,2.0,5.9
60,Quận Hải Châu,NHÀ MẶT PHỐ,4,3.0,2.0,9.0
148,Quận Sơn Trà,NHÀ MẶT PHỐ,5,4.0,3.0,18.0
200,Quận Cẩm Lệ,NHÀ MẶT PHỐ,10,2.0,1.0,7.2
180,Quận Hải Châu,"NHÀ BIỆT THỰ, LIỀN KỀ",8,5.5,5.0,18.5
150,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,6,3.0,3.0,3.19
100,Quận Sơn Trà,NHÀ MẶT PHỐ,5,3.0,3.0,5.6
159,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",6,5.5,7.0,8.5
120,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,6,4.0,3.0,4.4
41,Quận Thanh Khê,NHÀ TRONG NGÕ,5,1.5,2.0,2.35
69,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",7,3.0,3.0,4.0
167,Quận Hải Châu,"NHÀ BIỆT THỰ, LIỀN KỀ",8,5.0,6.0,23.5
120,Quận Liên Chiểu,NHÀ MẶT PHỐ,5,5.5,7.0,15.0
69,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",8,3.0,3.0,4.0
99,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",7,3.0,3.0,10.0
204,Quận Hải Châu,"NHÀ BIỆT THỰ, LIỀN KỀ",6,3.0,4.0,17.55
147,Quận Thanh Khê,NHÀ TRONG NGÕ,8,5.5,2.0,5.0
99,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",9,3.0,3.0,6.0
57,Quận Thanh Khê,NHÀ TRONG NGÕ,5,3.0,3.0,4.0
176,Quận Liên Chiểu,NHÀ MẶT PHỐ,7,2.0,2.0,11.8
99,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",9,3.0,3.0,0.594
80,Quận Liên Chiểu,NHÀ ĐẤT THỔ CƯ,5,3.0,3.0,3.7
150,Huyện Hòa Vang,NHÀ ĐẤT THỔ CƯ,3,2.0,1.0,1.95
69,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,6,3.0,3.0,5.0
71,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,6,2.0,2.0,0.9
69,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,10,3.0,2.0,4.0
99,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,3.0,3.0,6.0
115,Quận Ngũ Hành Sơn,NHÀ ĐẤT THỔ CƯ,5,1.5,1.0,8.0
102,Quận Ngũ Hành Sơn,NHÀ ĐẤT THỔ CƯ,6,3.0,4.0,7.9
50,Quận Thanh Khê,NHÀ ĐẤT THỔ CƯ,5,3.0,2.0,2.85
140,Quận Hải Châu,NHÀ TRONG NGÕ,7,3.0,3.0,3.0
90,Quận Sơn Trà,NHÀ MẶT PHỐ,7,3.0,3.0,5.9
204,Quận Hải Châu,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,5.0,20.5
204,Quận Cẩm Lệ,NHÀ MẶT PHỐ,10,5.0,4.0,7.5
100,Quận Hải Châu,NHÀ MẶT PHỐ,7,3.0,3.0,9.8
78,Quận Ngũ Hành Sơn,NHÀ ĐẤT THỔ CƯ,5,5.0,4.0,4.6
55,Quận Hải Châu,NHÀ MẶT PHỐ,5,3.0,3.0,9.0
45,Quận Hải Châu,NHÀ MẶT PHỐ,8,5.0,5.0,10.3
99,Quận Thanh Khê,NHÀ MẶT PHỐ,4,4.0,2.0,7.45
88,Quận Thanh Khê,NHÀ MẶT PHỐ,4,3.0,3.0,11.5
161,Quận Thanh Khê,NHÀ MẶT PHỐ,5,4.0,3.0,16.5
204,Quận Hải Châu,"NHÀ BIỆT THỰ, LIỀN KỀ",10,5.0,5.0,18.0
129,Quận Thanh Khê,NHÀ MẶT PHỐ,6,4.0,5.0,12.5
195,Quận Hải Châu,NHÀ MẶT PHỐ,6,4.0,4.0,16.0
94,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,4.0,7.0,13.4
100,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,5.5,7.0,7.8
98,Quận Hải Châu,NHÀ TRONG NGÕ,7,4.0,4.0,3.3
63,Quận Hải Châu,NHÀ MẶT PHỐ,6,4.0,3.0,13.5
73,Quận Sơn Trà,NHÀ MẶT PHỐ,5,3.0,3.0,7.0
120,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,6,2.0,1.0,3.1
90,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,5,2.0,2.0,4.7
152,Quận Cẩm Lệ,NHÀ MẶT PHỐ,8,4.0,3.0,13.2
200,Quận Cẩm Lệ,NHÀ MẶT PHỐ,8,4.0,3.0,12.0
100,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,4.0,3.0,7.5
85,Quận Sơn Trà,NHÀ TRONG NGÕ,6,4.0,5.0,5.65
85,Quận Liên Chiểu,NHÀ MẶT PHỐ,5,3.0,3.0,3.15
94,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,5,4.0,4.0,13.8
87,Quận Sơn Trà,NHÀ MẶT PHỐ,5,3.0,3.0,5.5
90,Quận Liên Chiểu,NHÀ MẶT PHỐ,5,4.0,4.0,6.34
120,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,5,3.0,3.0,4.0
100,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,5,4.0,4.0,2.85
193,Quận Sơn Trà,NHÀ MẶT PHỐ,9,5.0,5.0,20.5
62,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,5,3.0,3.0,4.6
80,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,4,3.0,4.0,4.4
69,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,5,3.0,3.0,5.8
52,Quận Thanh Khê,NHÀ MẶT PHỐ,4,2.0,2.0,1.99
80,Quận Sơn Trà,NHÀ ĐẤT THỔ CƯ,5,4.0,4.0,6.5
61,Quận Thanh Khê,NHÀ MẶT PHỐ,5,2.0,2.0,1.9
56,Quận Hải Châu,NHÀ MẶT PHỐ,4,3.0,3.0,4.5
53,Quận Thanh Khê,NHÀ MẶT PHỐ,4,3.0,3.0,2.8
121,Quận Sơn Trà,NHÀ MẶT PHỐ,6,5.5,7.0,5.4
70,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,6,2.0,2.0,1.45
70,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,2.0,2.0,1.6
79,Quận Thanh Khê,NHÀ MẶT PHỐ,8,5.0,5.0,3.05
125,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,6,2.0,1.0,3.03
51,Quận Thanh Khê,NHÀ MẶT PHỐ,4,3.0,2.0,3.1
135,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,6,4.0,4.0,14.0
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,3.0,3.0,12.5
204,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,7,5.0,4.0,16.0
90,Quận Sơn Trà,NHÀ MẶT PHỐ,4,2.0,2.0,3.7
109,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,1.5,1.0,3.3
73,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,5,3.0,3.0,5.2
98,Quận Liên Chiểu,NHÀ MẶT PHỐ,5,4.0,2.0,4.8
150,Huyện Hòa Vang,NHÀ ĐẤT THỔ CƯ,6,2.0,1.0,1.65
65,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,5,3.0,3.0,4.6
60,Quận Thanh Khê,NHÀ ĐẤT THỔ CƯ,4,2.0,2.0,3.8
80,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,3.0,4.0,4.5
90,Quận Sơn Trà,NHÀ MẶT PHỐ,5,5.5,7.0,11.0
50,Quận Hải Châu,NHÀ TRONG NGÕ,4,3.0,4.0,4.2
204,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,10,1.5,1.0,0.16
100,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,5,3.0,1.0,2.85
50,Quận Hải Châu,NHÀ MẶT PHỐ,4,3.0,3.0,0.073
