Diện tích (m^2),Khu vực,Mô tả vị trí,Mặt tiền (m),Số phòng ngủ,WC,Giá nhà (Tỷ)
150,Huyện Hòa Vang,NHÀ ĐẤT THỔ CƯ,5,2.0,1.0,2.0
204,Quận Cẩm Lệ,"NHÀ BIỆT THỰ, LIỀN KỀ",10,1.5,1.0,2.9
70,Quận Hải Châu,NHÀ TRONG NGÕ,6,3.0,3.0,2.2
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,4.0,12.5
50,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,4,3.0,2.0,1.75
50,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,5,3.0,2.0,1.75
83,Quận Sơn Trà,NHÀ TRONG NGÕ,5,3.0,2.0,4.15
50,Quận Ngũ Hành Sơn,NHÀ TRONG NGÕ,5,2.0,1.0,2.4
53,Quận Thanh Khê,NHÀ TRONG NGÕ,4,3.0,3.0,3.65
74,Quận Liên Chiểu,NHÀ TRONG NGÕ,5,2.0,1.0,1.62
96,Quận Cẩm Lệ,NHÀ ĐẤT THỔ CƯ,5,2.0,2.0,3.0
100,Quận Liên Chiểu,NHÀ MẶT PHỐ,5,5.0,6.0,3.63
125,Quận Liên Chiểu,"NHÀ BIỆT THỰ, LIỀN KỀ",5,5.5,3.0,5.15
70,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,2.0,2.0,1.86
120,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,3.0,3.0,6.0
96,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,3.0,3.0,4.95
92,Quận Hải Châu,NHÀ MẶT PHỐ,5,3.0,3.0,6.22
56,Quận Ngũ Hành Sơn,NHÀ ĐẤT THỔ CƯ,6,2.0,1.0,1.9
100,Quận Liên Chiểu,"NHÀ BIỆT THỰ, LIỀN KỀ",5,3.0,3.0,3.6
61,Quận Thanh Khê,NHÀ TRONG NGÕ,3,2.0,4.0,2.8
90,Quận Ngũ Hành Sơn,NHÀ ĐẤT THỔ CƯ,5,4.0,3.0,6.35
100,Quận Ngũ Hành Sơn,NHÀ ĐẤT THỔ CƯ,5,4.0,3.0,6.35
68,Quận Hải Châu,NHÀ TRONG NGÕ,4,3.0,2.0,3.2
56,Quận Ngũ Hành Sơn,NHÀ TRONG NGÕ,6,2.0,1.0,1.9
63,Quận Thanh Khê,NHÀ MẶT PHỐ,5,3.0,4.0,4.2
76,Quận Liên Chiểu,NHÀ MẶT PHỐ,4,4.0,4.0,4.85
204,Quận Cẩm Lệ,"NHÀ BIỆT THỰ, LIỀN KỀ",10,5.5,7.0,24.5
52,Quận Hải Châu,"NHÀ BIỆT THỰ, LIỀN KỀ",5,3.0,3.0,3.95
50,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,6,3.0,3.0,4.95
115,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,5,5.5,7.0,13.0
56,Quận Hải Châu,NHÀ TRONG NGÕ,4,2.0,2.0,2.6
81,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,4,5.0,4.0,5.7
96,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,3.0,3.0,4.8
47,Quận Thanh Khê,NHÀ TRONG NGÕ,4,2.0,2.0,2.27
75,Quận Hải Châu,NHÀ MẶT PHỐ,4,4.0,2.0,4.55
78,Quận Thanh Khê,NHÀ MẶT PHỐ,6,3.0,3.0,4.5
173,Quận Sơn Trà,NHÀ MẶT PHỐ,10,4.0,4.0,11.0
85,Quận Hải Châu,NHÀ MẶT PHỐ,5,3.0,2.0,7.2
82,Quận Hải Châu,NHÀ MẶT PHỐ,4,3.0,3.0,4.3
60,Quận Hải Châu,NHÀ TRONG NGÕ,4,3.0,3.0,3.4
160,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,5.5,6.0,8.9
85,Quận Hải Châu,NHÀ TRONG NGÕ,4,3.0,3.0,4.05
33,Quận Hải Châu,NHÀ TRONG NGÕ,3,2.0,2.0,2.07
204,Quận Hải Châu,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,5.0,21.0
99,Quận Sơn Trà,NHÀ MẶT PHỐ,4,3.0,2.0,10.5
90,Quận Thanh Khê,CĂN HỘ CHUNG CƯ,5,5.5,7.0,7.8
70,Quận Hải Châu,NHÀ TRONG NGÕ,5,3.0,2.0,3.4
100,Quận Thanh Khê,NHÀ MẶT PHỐ,5,3.0,3.0,10.0
73,Quận Hải Châu,NHÀ MẶT PHỐ,5,3.0,4.0,7.3
204,Quận Thanh Khê,NHÀ MẶT PHỐ,8,5.0,5.0,25.0
131,Quận Sơn Trà,NHÀ MẶT PHỐ,5,3.0,3.0,13.0
155,Quận Thanh Khê,NHÀ MẶT PHỐ,9,5.5,6.0,15.0
204,Quận Sơn Trà,"NHÀ BIỆT THỰ, LIỀN KỀ",10,3.0,4.0,12.9
204,Quận Hải Châu,"NHÀ BIỆT THỰ, LIỀN KỀ",10,5.0,3.0,19.0
200,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,5.5,3.0,12.0
50,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,3.0,3.0,1.4
100,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,2.0,3.0,4.6
108,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,3.0,1.0,0.5832
107,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,3.0,1.0,0.5885
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,5.0,3.0,13.0
204,Quận Ngũ Hành Sơn,NHÀ ĐẤT THỔ CƯ,10,3.0,3.0,21.0
106,Quận Ngũ Hành Sơn,NHÀ ĐẤT THỔ CƯ,5,3.0,3.0,5.5
28,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,5,1.5,1.0,0.04528
28,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,5,1.5,1.0,1.6
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,3.0,3.0,15.0
41,Quận Thanh Khê,NHÀ TRONG NGÕ,5,3.0,2.0,2.32
175,Quận Sơn Trà,NHÀ MẶT PHỐ,8,3.0,3.0,6.25
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,3.0,3.0,21.0
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,3.0,3.0,14.65
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,3.0,3.0,12.3
95,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,5,5.5,3.0,8.5
204,Quận Hải Châu,NHÀ MẶT PHỐ,6,5.0,5.0,1.49
80,Quận Thanh Khê,NHÀ TRONG NGÕ,9,5.5,7.0,5.0
85,Quận Ngũ Hành Sơn,NHÀ ĐẤT THỔ CƯ,7,3.0,3.0,4.9
120,Quận Hải Châu,NHÀ MẶT PHỐ,6,3.0,3.0,13.5
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,5.0,5.0,2.4
68,Quận Hải Châu,NHÀ TRONG NGÕ,4,5.0,5.0,4.2
28,Quận Sơn Trà,CĂN HỘ CHUNG CƯ,10,1.5,2.0,1.19
60,Quận Thanh Khê,NHÀ TRONG NGÕ,4,2.0,3.0,3.55
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,3.0,3.0,13.0
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,5.0,5.0,24.0
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,5.0,3.0,21.0
120,Quận Hải Châu,"NHÀ BIỆT THỰ, LIỀN KỀ",6,4.0,4.0,13.6
204,Quận Hải Châu,"NHÀ BIỆT THỰ, LIỀN KỀ",6,4.0,4.0,13.6
204,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,3.0,3.0,4.0
85,Quận Ngũ Hành Sơn,NHÀ TRONG NGÕ,7,3.0,3.0,4.9
125,Quận Thanh Khê,NHÀ MẶT PHỐ,5,5.5,7.0,16.0
201,Quận Liên Chiểu,NHÀ MẶT PHỐ,7,5.5,7.0,11.5
147,Quận Liên Chiểu,NHÀ MẶT PHỐ,5,5.5,6.0,3.7
120,Quận Liên Chiểu,NHÀ MẶT PHỐ,5,5.0,5.0,2.5
34,Quận Thanh Khê,NHÀ TRONG NGÕ,3,2.0,2.0,1.65
90,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,4.0,3.0,5.85
69,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,2.0,2.0,1.7
204,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,10,5.0,5.0,13.0
74,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,5.0,4.0,5.7
175,Quận Liên Chiểu,NHÀ MẶT PHỐ,7,3.0,7.0,2.5
136,Quận Liên Chiểu,NHÀ MẶT PHỐ,5,3.0,2.0,2.5
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",5,5.0,5.0,3.8
80,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,4.0,4.0,3.4
90,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,4.0,4.0,4.0
80,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,3.0,3.0,4.0
75,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,2.0,2.0,1.55
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,5.0,23.0
100,Quận Liên Chiểu,NHÀ MẶT PHỐ,5,2.0,2.0,2.5
73,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,10,2.0,1.0,2.0
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,4.0,23.0
187,Quận Liên Chiểu,"NHÀ BIỆT THỰ, LIỀN KỀ",7,3.0,3.0,7.5
110,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,3.0,3.0,4.5
77,Quận Sơn Trà,"NHÀ BIỆT THỰ, LIỀN KỀ",5,5.5,3.0,11.0
80,Quận Cẩm Lệ,NHÀ TRONG NGÕ,4,2.0,2.0,1.8
73,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,6,3.0,3.0,1.5
160,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,6,3.0,3.0,1.5
103,Huyện Hòa Vang,NHÀ ĐẤT THỔ CƯ,10,2.0,1.0,1.45
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,3.0,3.0,12.3
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,3.0,3.0,21.0
204,Quận Hải Châu,NHÀ MẶT PHỐ,6,5.5,5.0,13.9
204,Quận Hải Châu,NHÀ MẶT PHỐ,6,5.0,5.0,14.0
60,Quận Hải Châu,NHÀ MẶT PHỐ,4,2.0,1.0,3.9
58,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,6,3.0,4.0,4.8
93,Quận Liên Chiểu,NHÀ ĐẤT THỔ CƯ,5,3.0,4.0,5.35
204,Huyện Hòa Vang,NHÀ MẶT PHỐ,5,3.0,4.0,9.51
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,3.0,3.0,11.9
55,Quận Thanh Khê,NHÀ TRONG NGÕ,5,4.0,3.0,2.0
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,3.0,3.0,12.0
83,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,10,2.0,2.0,3.7
82,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,10,2.0,2.0,3.7
68,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,8,3.0,3.0,1.8
52,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,5,3.0,3.0,7.5
60,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,10,2.0,2.0,5.0
116,Quận Liên Chiểu,NHÀ MẶT PHỐ,10,4.0,3.0,11.5
100,Quận Sơn Trà,"NHÀ BIỆT THỰ, LIỀN KỀ",6,4.0,3.0,11.0
100,Quận Sơn Trà,"NHÀ BIỆT THỰ, LIỀN KỀ",5,3.0,3.0,7.8
55,Quận Hải Châu,NHÀ MẶT PHỐ,4,3.0,4.0,10.9
100,Quận Hải Châu,NHÀ MẶT PHỐ,10,5.0,4.0,12.9
83,Quận Hải Châu,NHÀ MẶT PHỐ,5,3.0,3.0,14.5
85,Quận Hải Châu,NHÀ MẶT PHỐ,5,4.0,3.0,14.7
81,Quận Hải Châu,NHÀ MẶT PHỐ,4,4.0,3.0,7.3
99,Quận Hải Châu,NHÀ MẶT PHỐ,5,5.0,4.0,0.9
100,Quận Cẩm Lệ,NHÀ MẶT PHỐ,7,4.0,4.0,7.9
140,Quận Liên Chiểu,NHÀ MẶT PHỐ,7,5.0,4.0,8.2
85,Quận Thanh Khê,NHÀ MẶT PHỐ,5,4.0,4.0,8.2
127,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,5.0,4.0,9.5
44,Quận Hải Châu,NHÀ MẶT PHỐ,4,3.0,3.0,7.9
120,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,3.0,2.0,7.1
125,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,5,3.0,2.0,7.75
103,Quận Thanh Khê,NHÀ MẶT PHỐ,5,3.0,3.0,8.5
113,Quận Hải Châu,NHÀ MẶT PHỐ,5,4.0,5.0,1.12
79,Quận Sơn Trà,NHÀ MẶT PHỐ,5,3.0,3.0,8.2
76,Quận Hải Châu,NHÀ MẶT PHỐ,5,2.0,2.0,9.9
105,Quận Sơn Trà,NHÀ MẶT PHỐ,5,5.5,7.0,23.8
127,Quận Sơn Trà,NHÀ MẶT PHỐ,7,5.5,6.0,2.1
105,Quận Hải Châu,NHÀ MẶT PHỐ,7,5.0,7.0,8.4
41,Quận Hải Châu,"NHÀ BIỆT THỰ, LIỀN KỀ",4,3.0,3.0,8.8
100,Quận Thanh Khê,NHÀ MẶT PHỐ,4,3.0,3.0,9.0
77,Quận Sơn Trà,NHÀ MẶT PHỐ,4,4.0,4.0,8.2
83,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,5,4.0,4.0,8.8
131,Quận Cẩm Lệ,NHÀ MẶT PHỐ,7,5.0,3.0,9.7
75,Quận Thanh Khê,"NHÀ BIỆT THỰ, LIỀN KỀ",5,4.0,4.0,9.9
126,Quận Hải Châu,NHÀ MẶT PHỐ,5,4.0,4.0,1.0
90,Quận Hải Châu,NHÀ MẶT PHỐ,5,4.0,4.0,7.3
75,Quận Cẩm Lệ,NHÀ MẶT PHỐ,4,3.0,2.0,4.95
70,Quận Hải Châu,NHÀ MẶT PHỐ,5,4.0,4.0,0.7
60,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,5,5.5,7.0,8.8
145,Quận Liên Chiểu,NHÀ MẶT PHỐ,5,5.0,5.0,0.92
95,Quận Sơn Trà,NHÀ MẶT PHỐ,4,4.0,3.0,5.7
150,Quận Sơn Trà,"NHÀ BIỆT THỰ, LIỀN KỀ",10,1.5,1.0,7.5
85,Quận Cẩm Lệ,NHÀ ĐẤT THỔ CƯ,5,5.0,4.0,7.7
77,Quận Sơn Trà,NHÀ MẶT PHỐ,5,5.0,4.0,8.2
64,Quận Thanh Khê,NHÀ MẶT PHỐ,5,4.0,3.0,7.8
90,Quận Sơn Trà,NHÀ MẶT PHỐ,5,4.0,3.0,7.85
150,Quận Sơn Trà,NHÀ MẶT PHỐ,10,1.5,1.0,7.9
162,Quận Hải Châu,NHÀ MẶT PHỐ,8,3.0,2.0,7.3
41,Quận Hải Châu,NHÀ MẶT PHỐ,4,3.0,3.0,7.5
204,Huyện Hòa Vang,NHÀ MẶT PHỐ,10,4.0,3.0,8.7
75,Quận Sơn Trà,NHÀ MẶT PHỐ,5,3.0,2.0,8.2
133,Quận Cẩm Lệ,NHÀ MẶT PHỐ,7,5.0,4.0,12.3
118,Quận Hải Châu,NHÀ MẶT PHỐ,8,5.0,5.0,17.6
60,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,5,4.0,4.0,0.636
90,Quận Thanh Khê,"NHÀ BIỆT THỰ, LIỀN KỀ",5,5.5,7.0,14.2
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,3.0,3.0,12.5
75,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,2.0,2.0,1.6
204,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,3,2.0,2.0,9.2
69,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,8,3.0,3.0,1.62
78,Quận Sơn Trà,NHÀ MẶT PHỐ,5,2.0,2.0,6.0
88,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,3.0,2.0,0.1672
50,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,10,2.0,1.0,0.45
100,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,5,4.0,3.0,7.0
204,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,5,3.0,3.0,7.0
70,Quận Liên Chiểu,NHÀ ĐẤT THỔ CƯ,5,3.0,2.0,2.5
100,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,5,3.0,2.0,2.8
57,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,5,3.0,2.0,3.7
52,Quận Thanh Khê,NHÀ ĐẤT THỔ CƯ,5,3.0,2.0,3.3
55,Quận Thanh Khê,NHÀ ĐẤT THỔ CƯ,10,2.0,2.0,3.2
90,Quận Thanh Khê,NHÀ TRONG NGÕ,2,5.5,5.0,3.9
70,Quận Hải Châu,NHÀ TRONG NGÕ,4,3.0,2.0,3.1
90,Quận Thanh Khê,NHÀ ĐẤT THỔ CƯ,6,5.5,5.0,4.0
60,Quận Thanh Khê,NHÀ MẶT PHỐ,4,2.0,2.0,6.0
128,Quận Hải Châu,NHÀ MẶT PHỐ,5,3.0,3.0,19.0
100,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,3.0,3.0,3.0
75,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,2.0,3.0,2.9
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,4.0,12.0
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,4.0,12.0
74,Quận Cẩm Lệ,NHÀ ĐẤT THỔ CƯ,5,5.0,4.0,5.9
60,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,5,3.0,3.0,3.4
45,Quận Cẩm Lệ,NHÀ ĐẤT THỔ CƯ,4,3.0,3.0,4.82
72,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,2,1.5,2.0,1.5
72,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,6,2.0,2.0,1.4
120,Quận Hải Châu,"NHÀ BIỆT THỰ, LIỀN KỀ",6,4.0,3.0,14.9
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,3.0,3.0,12.0
204,Quận Hải Châu,NHÀ MẶT PHỐ,6,5.5,6.0,13.5
120,Quận Hải Châu,NHÀ MẶT PHỐ,4,5.5,6.0,13.5
72,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,2.0,2.0,1.6
114,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,6,4.0,4.0,25.0
70,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,2.0,2.0,1.55
204,Quận Cẩm Lệ,"NHÀ BIỆT THỰ, LIỀN KỀ",10,3.0,3.0,15.4
69,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,2.0,2.0,1.5
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,4.0,12.0
204,Quận Hải Châu,NHÀ MẶT PHỐ,6,5.0,5.0,1.97
70,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,2.0,2.0,1.5
66,Quận Hải Châu,NHÀ TRONG NGÕ,6,2.0,3.0,3.0
80,Quận Hải Châu,NHÀ TRONG NGÕ,4,3.0,2.0,4.6
50,Quận Hải Châu,NHÀ TRONG NGÕ,6,3.0,2.0,2.69
54,Quận Thanh Khê,NHÀ TRONG NGÕ,4,3.0,2.0,3.45
100,Quận Hải Châu,NHÀ TRONG NGÕ,6,4.0,4.0,3.0
50,Quận Hải Châu,NHÀ TRONG NGÕ,5,3.0,2.0,3.05
50,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,5,3.0,2.0,3.05
75,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,6,2.0,2.0,1.65
75,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,2.0,2.0,1.7
150,Quận Sơn Trà,"NHÀ BIỆT THỰ, LIỀN KỀ",7,4.0,4.0,0.016
78,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,2,2.0,2.0,1.8
70,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,10,2.0,2.0,1.6
70,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,3.0,3.0,1.6
54,Quận Thanh Khê,NHÀ TRONG NGÕ,4,3.0,2.0,2.38
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,4.0,5.12
72,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,2.0,2.0,1.65
75,Quận Cẩm Lệ,NHÀ MẶT PHỐ,4,3.0,3.0,3.3
144,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,5,1.5,1.0,4.5
60,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,5,2.0,2.0,5.5
204,Quận Cẩm Lệ,NHÀ MẶT PHỐ,10,3.0,3.0,5.2
69,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,3.0,3.0,1.55
78,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,2,2.0,2.0,1.8
72,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,3.0,3.0,1.5
71,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,10,2.0,2.0,1.5
70,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,3.0,3.0,1.5
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,3.0,3.0,23.0
45,Quận Thanh Khê,NHÀ ĐẤT THỔ CƯ,4,5.0,4.0,0.13725
62,Quận Sơn Trà,NHÀ TRONG NGÕ,10,3.0,2.0,3.2
54,Quận Sơn Trà,NHÀ ĐẤT THỔ CƯ,4,3.0,3.0,5.6
42,Quận Thanh Khê,NHÀ ĐẤT THỔ CƯ,4,3.0,3.0,0.1281
53,Quận Hải Châu,NHÀ MẶT PHỐ,4,3.0,2.0,3.58
100,Quận Cẩm Lệ,NHÀ MẶT PHỐ,5,4.0,3.0,5.45
54,Quận Hải Châu,NHÀ TRONG NGÕ,5,3.0,3.0,3.97
96,Quận Liên Chiểu,NHÀ ĐẤT THỔ CƯ,5,1.5,1.0,2.5
53,Quận Hải Châu,NHÀ MẶT PHỐ,4,3.0,2.0,3.6
70,Quận Thanh Khê,NHÀ TRONG NGÕ,4,3.0,3.0,4.25
62,Quận Hải Châu,NHÀ TRONG NGÕ,8,3.0,2.0,3.15
35,Quận Hải Châu,NHÀ TRONG NGÕ,5,3.0,3.0,2.6
69,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,3.0,3.0,1.5
75,Quận Liên Chiểu,NHÀ MẶT PHỐ,5,3.0,4.0,5.5
75,Quận Liên Chiểu,NHÀ MẶT PHỐ,5,3.0,4.0,5.6
80,Quận Liên Chiểu,NHÀ MẶT PHỐ,5,4.0,4.0,6.0
100,Quận Sơn Trà,NHÀ MẶT PHỐ,5,5.5,7.0,17.3
97,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,4,1.5,1.0,3.0
69,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,2.0,2.0,1.55
69,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,2.0,2.0,0.10005
171,Quận Hải Châu,"NHÀ BIỆT THỰ, LIỀN KỀ",7,4.0,5.0,9.0
69,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,3.0,3.0,1.53
75,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,10,2.0,2.0,1.8
72,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,3.0,3.0,1.6
72,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,3.0,3.0,1.55
72,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,2.0,2.0,1.55
204,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,10,4.0,3.0,15.54
111,Quận Sơn Trà,NHÀ MẶT PHỐ,7,3.0,3.0,11.5
75,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,2.0,2.0,1.4
63,Quận Liên Chiểu,NHÀ TRONG NGÕ,4,3.0,2.0,3.15
137,Quận Hải Châu,NHÀ MẶT PHỐ,7,4.0,5.0,11.8
52,Quận Hải Châu,NHÀ TRONG NGÕ,7,4.0,5.0,0.22619999999999998
78,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,2.0,2.0,1.75
70,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,5,3.0,3.0,1.5
75,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,5,3.0,3.0,1.5
70,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,6,3.0,3.0,1.1
69,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,2.0,2.0,1.4
105,Quận Thanh Khê,NHÀ MẶT PHỐ,5,3.0,3.0,6.35
75,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,3.0,3.0,1.5
53,Quận Hải Châu,NHÀ MẶT PHỐ,4,3.0,2.0,3.5
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,3.0,3.0,12.0
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,5.0,5.0,13.0
72,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,7,2.0,2.0,1.5
70,Quận Ngũ Hành Sơn,CĂN HỘ CHUNG CƯ,6,3.0,3.0,1.6
106,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,5,3.0,3.0,6.3
70,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,5,3.0,3.0,12.5
58,Quận Thanh Khê,NHÀ ĐẤT THỔ CƯ,5,3.0,3.0,3.55
85,Quận Thanh Khê,NHÀ TRONG NGÕ,4,3.0,2.0,3.0
85,Quận Thanh Khê,NHÀ TRONG NGÕ,4,4.0,3.0,3.0
80,Quận Thanh Khê,NHÀ MẶT PHỐ,5,4.0,4.0,5.4
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,3.0,3.0,11.9
60,Quận Hải Châu,NHÀ MẶT PHỐ,5,3.0,2.0,3.8
